Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
25,Let Me Love You,Mario,dance pop,2004,95,58,66,-9,12,56,257,24,9,76
26,Don't Stop The Music,Rihanna,barbadian pop,2008,123,67,84,-6,5,54,267,3,6,76
27,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,detroit hip hop,2004,171,74,69,-5,34,6,322,1,26,76
28,I Knew You Were Trouble.,Taylor Swift,dance pop,2012,77,47,62,-7,3,68,220,0,4,75
29,Temperature,Sean Paul,dance pop,2005,125,60,95,-5,7,82,219,11,7,75
30,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2009,93,37,48,-8,12,14,216,74,3,75
31,Where Is The Love?,The Black Eyed Peas,dance pop,2003,94,69,84,-3,13,83,273,10,18,75
32,Replay,Iyaz,dance pop,2009,91,75,71,-6,17,20,182,17,7,74
33,Live Your Life (feat. Rihanna),T.I.,atl hip hop,2008,160,86,38,-3,21,48,339,7,26,74
34,Grenade,Bruno Mars,pop,2010,110,56,71,-7,12,23,223,15,6,74
35,Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2012,126,82,65,-4,67,77,231,0,4,74
36,Womanizer,Britney Spears,dance pop,2009,139,70,72,-5,9,24,224,7,6,74
37,You Found Me,The Fray,modern rock,2009,152,80,34,-5,14,40,242,2,4,74
38,One Tow Step (feat. Missy Elliot),Ciara,dance pop,2004,113,51,94,-11,4,84,204,4,16,74
39,Smack That,Akon,dance pop,2006,119,74,94,-5,9,93,212,32,5,73
40,Alors on danse,Stromae,belgian pop,2010,120,59,79,-9,7,71,206,10,8,73
41,No Air (feat. Chris Brown),Jordin Sparks,dance pop,2007,160,76,47,-5,6,33,264,5,20,73
42,We Are Never Ever Getting Back Together,Taylor Swift,dance pop,2012,86,68,63,-6,12,75,193,1,9,73
43,Love Story,Taylor Swift,dance pop,2008,119,74,62,-4,8,31,236,13,3,73
44,Pon de Replay,Rihanna,barbadian pop,2005,99,64,78,-8,10,50,247,0,16,73
45,A Milli,Lil Wayne,hip hop,2008,151,70,67,-9,19,77,222,4,28,73
46,U Remind Me,Usher,atl hip hop,2001,94,63,66,-5,25,73,267,19,8,73
47,Right Round,Flo Rida,dance pop,2009,125,67,72,-7,23,71,205,1,6,72
48,Because Of You,Ne-Yo,dance pop,2007,110,54,81,-6,10,83,267,53,4,72
49,Call on Me - Radio Mix,Eric Prydz,big room,2004,126,84,60,-7,84,45,171,0,38,72
50,Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,-4,7,61,235,13,4,72
51,What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,bronx hip hop,2001,94,71,84,-5,11,92,267,2,6,72
52,Pump It,The Black Eyed Peas,dance pop,2005,154,93,65,-3,75,74,213,1,18,72
53,Break Your Heart,Taio Cruz,dance pop,2010,122,93,61,-4,9,57,202,3,3,71
54,Numb / Encore,JAY-Z,east coast hip hop,2004,107,80,69,-4,55,80,205,6,16,71
55,Hate That I Love You,Rihanna,barbadian pop,2008,94,73,64,-5,10,73,219,32,9,71
56,Lollipop,Lil Wayne,hip hop,2008,148,43,83,-9,14,45,299,6,8,71
57,Rockstar,Nickelback,alternative metal,2005,144,91,62,-3,34,69,252,5,4,71
58,I Wanna Love You,Akon,dance pop,2006,100,45,87,-9,31,35,247,4,4,70
59,Crush,David Archuleta,dance pop,2008,162,66,57,-5,7,49,214,1,3,70
60,Apologize,Timbaland,dance pop,2007,118,60,66,-6,10,8,184,4,3,70
61,7 Days,Craig David,british soul,2001,83,81,66,-7,10,89,235,23,5,70
62,Broken Strings,James Morrison,neo mellow,2008,112,72,57,-5,8,32,250,1,3,70
63,Bleeding Love,Leona Lewis,british soul,2007,104,65,64,-6,15,20,263,19,4,70
64,In My Head,Jason Derulo,dance pop,2010,110,75,76,-4,35,85,199,3,3,69
65,Ridin',Chamillionaire,dirty south rap,2005,143,80,79,-5,30,84,303,19,10,69
66,Hot N Cold,Katy Perry,dance pop,2008,132,84,71,-4,7,86,220,0,4,69
67,Breakeven,The Script,celtic rock,2008,94,70,63,-5,8,49,261,14,2,68
68,Snap Yo Fingers,Youngbloodz,atl hip hop,2006,82,76,84,-5,29,63,274,1,23,68
69,Boom Boom Pow,The Black Eyed Peas,dance pop,2009,130,86,87,-6,13,40,251,13,7,68
70,Lady - Hear Me Tonight,Modjo,disco house,2001,126,81,72,-6,6,87,307,1,4,68
71,Superstar,Jamelia,europop,2003,110,65,80,-7,4,82,215,5,4,67
72,Love Lockdown,Kanye West,chicago rap,2008,120,52,76,-8,11,11,270,5,3,67
73,The Tide Is High - Radio Mix,Atomic Kitten,bubblegum dance,2003,103,69,78,-3,3,64,205,2,3,66
74,Release Me,Agnes,dance pop,2009,128,92,62,-3,11,72,256,1,3,65
75,About You Now,Sugababes,bubblegum dance,2007,82,70,58,-6,49,59,212,0,4,65
76,Pjanoo - Radio Edit,Eric Prydz,big room,2008,126,87,60,-5,11,84,157,0,3,65
77,Let It Rock,Kevin Rudolf,dance pop,2008,113,78,61,-4,7,44,231,0,4,65
78,Everytime We Touch - Radio Edit,Cascada,bubblegum dance,2011,142,98,64,-5,37,49,199,0,6,64
79,Lean Back,Terror Squad,bronx hip hop,2004,127,92,80,-3,7,70,247,11,47,64
80,TiK ToK,Kesha,dance pop,2014,120,67,75,-7,28,63,200,6,12,63
81,All Rise,Blue,boy band,2001,98,74,72,-3,17,93,224,12,3,63
82,Fergalicious,Fergie,dance pop,2006,129,58,91,-8,13,83,292,6,32,63
83,Something,Lasgo,belgian dance,2001,140,98,64,-7,11,38,221,3,4,63
84,When Love Takes Over (feat. Kelly Rowland),David Guetta,dance pop,2009,130,86,66,-5,20,50,189,1,3,63
85,Anyone Of Us (Stupid Mistake),Gareth Gates,europop,2002,107,72,70,-6,8,65,228,28,3,61
86,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,dance pop,2006,100,42,62,-7,12,29,203,29,2,61
87,Thank God I Found You,Mariah Carey,dance pop,1999,130,53,47,-6,11,15,257,59,3,61
88,Sexy Bitch (feat. Akon) - Extended,David Guetta,dance pop,2009,130,30,96,-6,8,80,312,2,13,60
89,Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,82,75,-5,69,65,213,15,6,60
90,Bump Bump Bump,B2K,boy band,2003,96,68,84,-6,5,89,283,10,21,60
91,Beautiful Girls,Sean Kingston,dance pop,2014,118,64,54,-7,24,75,242,14,9,60
92,I Know You Want Me (Calle Ocho),Pitbull,dance pop,2009,127,74,82,-6,24,80,237,1,14,60
93,Leave The World Behind - Radio Edit,Axwell,big room,2009,128,85,53,-8,32,28,162,0,5,58
94,D̩senchant̩e - Radio Edit,Kate Ryan,belgian pop,2008,140,94,52,-5,23,29,221,17,7,57
95,Moving too fast - Radio Edit,Artful Dodger,uk garage,2012,127,51,84,-11,3,52,238,9,5,57
96,I Know What You Want (feat. Flipmode Squad),Busta Rhymes,east coast hip hop,2002,86,75,56,-4,64,49,324,1,32,56
97,Knock You Down,Keri Hilson,dance pop,2009,155,88,59,-5,17,65,326,1,16,56
98,Dragostea Din Tei - Italian Version,O-Zone,bubblegum dance,2010,130,89,67,-6,10,80,215,4,3,44
99,What A Girl Wants - Eddie Arroyo Dance Radio Edit,Christina Aguilera,dance pop,1999,130,92,75,-7,7,66,244,1,3,40
100,Impossible - Main,Shontelle,barbadian pop,2019,90,57,59,-5,11,51,226,44,4,32
