Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
58,No Other Love,Bob Sharples & His Music,,2014,97,31,37,-10,27,10,171,69,3,31
59,Hot Diggity,Stargazers,,2001,109,64,88,-9,60,96,134,61,11,31
60,Kisses Sweeter Than Wine,Frankie Vaughan,merseybeat,2010,87,46,57,-9,18,86,138,61,5,31
61,Are You Really Mine,Jimmy Rodgers,yodeling,2014,102,19,69,-17,13,56,148,77,3,31
62,Butterfingers,Tommy Steele,classic uk pop,2000,75,14,52,-14,14,26,135,70,3,30
63,Come Softly To Me,Frankie Vaughan,merseybeat,2010,131,34,57,-14,35,89,142,82,3,30
64,Ninety-Nine Ways,Tab Hunter,deep adult standards,2000,125,33,59,-10,9,68,108,87,3,30
65,Only Sixteen - 2004 Remaster,Craig Douglas,brill building pop,2008,114,55,65,-10,36,59,136,63,4,29
66,Little Things Means A Lot,Jayne Mansfield,,2008,109,29,70,-15,16,63,172,36,4,29
67,Drinks On The House,Green Martini Keys,,2016,97,16,57,-16,11,15,181,100,5,28
68,Pachuko Hop,Ike Carpenter Orchestra,,2006,83,53,48,-9,34,80,135,59,3,28
69,Collette,Billy Fury,adult standards,1982,155,44,55,-10,10,73,112,82,4,27
70,Happy Days And Lonely Nights,Suzi Miller And Johnson Brothers,,2012,142,38,65,-8,13,69,146,43,3,27
71,Stairway Of Love,Terry Dene,,2015,93,62,62,-7,25,86,120,55,4,27
72,I've Waited So Long,Anthony Newley,,2012,137,36,27,-15,25,28,165,64,4,26
73,Held for Questioning,Rusty Draper,deep adult standards,1953,109,65,70,-2,14,85,146,79,3,26
