Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
24,Forever Young,Alphaville,dance rock,1984,137,48,49,-9,24,33,227,42,3,73
25,I Love Rock 'N Roll,Joan Jett & The Blackhearts,glam punk,1981,94,72,54,-5,66,90,175,33,4,72
26,Sacrifice,Elton John,glam rock,1989,113,42,76,-13,4,49,304,2,3,72
27,Material Girl,Madonna,dance pop,2009,137,88,74,-3,10,98,240,33,3,72
28,The Winner Takes It All,ABBA,europop,1980,126,79,45,-7,9,52,295,57,4,72
29,Smalltown Boy,Bronski Beat,dance rock,1984,135,58,69,-11,12,94,302,29,3,71
30,The Best - Edit,Tina Turner,disco,1991,104,83,68,-6,21,82,250,1,3,71
31,(I Just) Died In Your Arms,Cutting Crew,album rock,1986,125,73,63,-11,6,51,280,2,4,71
32,Brothers In Arms,Dire Straits,album rock,1985,79,30,41,-14,18,14,424,53,3,71
33,Glory of Love,Peter Cetera,adult standards,1986,145,59,52,-8,31,31,258,8,3,71
34,Super Trouper,ABBA,europop,1980,118,63,76,-8,20,96,253,46,3,70
35,Flashdance...What a Feeling - Radio Edit,Irene Cara,dance rock,1983,122,65,57,-7,9,40,237,1,3,70
36,Every Time You Go Away - Radio Edit,Paul Young,album rock,1991,164,72,57,-9,22,84,267,19,4,70
37,Self Control,Laura Branigan,dance rock,1984,107,69,81,-12,16,78,246,22,3,70
38,Say You Say Me,Lionel Richie,adult standards,1986,128,41,64,-11,8,26,241,36,3,70
39,Heaven Is a Place on Earth,Belinda Carlisle,dance pop,2013,123,85,64,-8,5,79,247,2,3,70
40,I Want To Break Free - Remastered 2011,Queen,glam rock,1984,109,41,88,-11,12,78,199,8,4,70
41,Arthur's Theme (Best That You Can Do),Christopher Cross,adult standards,1981,137,52,53,-11,18,52,234,17,4,70
42,Carrie,Europe,album rock,1986,137,49,46,-7,36,14,272,11,3,70
43,We Are The World,U.S.A. For Africa,,1985,73,45,53,-15,7,29,427,19,4,69
44,Stuck On You,Lionel Richie,adult standards,1983,132,32,51,-16,9,25,192,62,3,69
45,Hurts So Good,John Mellencamp,album rock,1982,125,74,79,-5,11,97,219,4,4,69
46,How Am I Supposed to Live Without You,Michael Bolton,adult standards,1989,140,44,54,-12,11,23,256,19,3,69
47,Hysteria,Def Leppard,album rock,1987,107,85,66,-6,20,66,355,3,3,68
48,Nikita,Elton John,glam rock,1985,87,66,63,-9,7,75,343,12,3,68
49,Dancing With Myself,Billy Idol,album rock,1985,177,70,51,-11,30,91,360,2,8,68
50,I'll Be Over You,TOTO,album rock,1986,82,28,52,-18,26,41,230,6,3,68
51,Kids In America,Kim Wilde,dance pop,1981,160,78,56,-4,12,31,206,10,5,68
52,St. Elmos Fire (Man in Motion),John Parr,album rock,1985,111,60,61,-11,22,47,252,15,3,68
53,One More Night - 2016 Remaster,Phil Collins,mellow gold,1985,136,44,53,-9,10,34,289,79,3,68
54,Come On Eileen,Dexys Midnight Runners,bow pop,2009,107,87,41,-4,8,82,206,20,9,68
55,Where Do Broken Hearts Go,Whitney Houston,dance pop,1987,62,39,46,-12,7,25,278,63,3,67
56,Guilty (feat. Barry Gibb),Barbra Streisand,adult standards,1980,151,43,63,-16,11,95,264,23,4,67
57,Brother Louie,Modern Talking,eurodance,1986,109,84,78,-9,14,83,223,40,5,67
58,Running Up That Hill (A Deal With God),Kate Bush,art pop,1985,108,55,63,-13,6,20,299,72,6,67
59,End Of The Line,Traveling Wilburys,album rock,1988,167,84,58,-7,6,93,210,16,5,67
60,Every Breath You Take,The Police,album rock,2017,117,48,82,-9,8,72,252,56,3,67
61,"Up Where We Belong - From ""An Officer And A Gentleman""",Joe Cocker,album rock,2000,140,31,63,-12,7,24,233,61,3,67
62,Woman in Love,Barbra Streisand,adult standards,1980,170,28,47,-16,13,33,232,25,3,67
63,Cheri Cheri Lady,Modern Talking,eurodance,1985,114,62,68,-14,35,85,226,46,3,66
64,Higher Love - Single Version,Steve Winwood,album rock,2007,99,89,70,-7,50,92,252,6,4,66
65,That's What Friends Are For,Dionne Warwick,adult standards,1985,120,24,68,-16,7,17,256,51,3,66
66,Gloria,Laura Branigan,dance rock,1995,131,87,78,-4,15,88,295,14,3,66
67,Slave To Love,Bryan Ferry,album rock,1985,148,82,66,-6,5,79,266,18,3,66
68,Now And Forever,Richard Marx,mellow gold,1994,78,26,44,-11,11,17,215,66,3,65
69,Big in Japan,Alphaville,dance rock,1984,98,41,75,-15,34,24,286,7,4,65
70,Only You,Yazoo,dance rock,1982,106,31,75,-17,8,85,194,33,4,65
71,Valerie,Steve Winwood,album rock,1982,116,53,72,-11,8,73,247,57,3,65
72,Blue Monday '88,New Order,alternative rock,1994,130,89,68,-8,6,95,245,0,4,65
73,Gold,Spandau Ballet,dance rock,2000,143,74,71,-8,10,64,231,26,4,65
74,Nothing's Gonna Change My Love For You,Glenn Medeiros,soft rock,1986,142,43,45,-13,6,39,232,57,4,64
75,Sledgehammer,Peter Gabriel,album rock,1986,96,69,66,-5,4,42,314,2,3,64
76,Rhythm Of The Night,DeBarge,disco,1985,115,76,71,-12,8,96,229,8,5,64
77,Jessie's Girl,Rick Springfield,album rock,1981,132,59,72,-14,10,85,194,33,5,64
78,It's Raining Men,The Weather Girls,disco,1996,136,93,68,-6,70,61,211,32,12,64
79,Sunshine Reggae,Laid Back,classic danish pop,2008,168,79,70,-6,8,93,258,10,4,64
80,Wonderful Life,Black,dance rock,1987,106,52,72,-12,21,82,288,71,3,64
81,The Riddle,Nik Kershaw,dance rock,1984,102,66,58,-8,14,90,235,12,3,63
82,Papa Don't Preach,Madonna,dance pop,1986,122,91,81,-9,2,97,345,31,4,63
83,Didn't We Almost Have It All,Whitney Houston,dance pop,1987,131,49,54,-10,14,34,305,42,3,63
84,All Right,Christopher Cross,adult standards,1983,133,65,71,-5,23,50,254,17,4,63
85,Biggest Part of Me,Ambrosia,adult standards,1980,153,72,50,-8,35,88,324,24,5,63
86,Save a Prayer - 2009 Remaster,Duran Duran,dance rock,1982,114,71,57,-9,16,67,333,35,3,62
87,Baby Come To Me,Patti Austin,adult standards,1981,90,50,63,-12,14,70,215,55,8,62
88,Fame - Rerecorded,Irene Cara,dance rock,2018,131,80,71,-7,8,94,319,7,3,62
89,Hard Habit to Break - 2006 Remaster,Chicago,adult standards,1984,81,61,58,-6,17,40,284,45,3,61
90,Rock You Like a Hurricane,Scorpions,album rock,2017,124,83,58,-6,32,67,254,0,4,61
91,When the Children Cry,White Lion,album rock,1987,130,24,49,-14,7,38,259,67,3,61
92,Is This Love - 2017 Remaster,Whitesnake,album rock,1987,180,79,33,-7,12,53,285,11,4,60
93,I Knew You Were Waiting (For Me),George Michael,new wave pop,1986,108,68,73,-11,31,68,242,27,4,60
94,You Keep Me Hangin On,Kim Wilde,dance pop,1986,123,68,69,-12,14,71,255,8,3,60
95,Dancing with Tears in My Eyes,Ultravox,art rock,1984,144,91,59,-8,60,93,244,15,4,59
96,In The Army Now,Status Quo,album rock,2002,105,73,68,-8,14,94,281,11,2,59
97,Here I Go Again - 2017 Remaster,Whitesnake,album rock,1987,90,85,38,-6,9,27,276,15,4,58
98,Holiday,Madonna,dance pop,1983,118,70,81,-9,5,73,232,3,5,58
99,I Think We're Alone Now,Tiffany,new wave pop,2008,130,89,65,-5,9,70,227,0,4,58
100,"Crockett's Theme - From ""Miami Vice II"" Soundtrack",Jan Hammer,jazz fusion,1991,191,39,41,-17,10,40,215,42,3,58
101,Cold as Ice - 2008 Remaster,Foreigner,album rock,2008,131,71,55,-5,14,51,200,6,3,57
102,Zulu Nation Throw Down,Afrika Bambaataa,bronx hip hop,2015,108,95,85,-4,10,91,433,76,19,50
103,It's Only Love - 2008 Remaster,Simply Red,british soul,2008,92,88,67,-5,4,75,299,51,4,50
104,Lucky Star,Madonna,dance pop,1983,117,81,80,-5,22,93,338,20,4,46
105,Romeo - 2014 Remaster,Donna Summer,dance pop,1996,141,85,85,-8,11,96,199,3,4,43
