Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
78,Be With You,Enrique Iglesias,dance pop,1999,122,87,68,-5,5,54,219,4,3,55
79,Ain't That Just the Way,Lutricia McNeal,,1996,174,65,74,-9,19,77,215,6,22,55
80,Have You Ever - Radio Edit,Brandy,dance pop,2005,134,48,68,-7,30,23,215,60,4,54
81,Gangsta's Paradise,Coolio,g funk,1995,80,63,64,-6,40,42,242,4,5,54
82,Show Me Love,Robin S,disco house,2017,120,72,82,-6,8,56,254,1,13,53
83,When I Look Into Your Eyes,Firehouse,album rock,2010,147,61,39,-8,16,25,240,0,3,53
84,Insomnia - Radio Edit,Faithless,big beat,2010,127,92,71,-9,37,53,216,6,4,50
85,If You Ever,East 17,boy band,1996,140,68,58,-9,31,57,255,18,3,48
86,Pump Up The Jam,Technotronic,eurodance,2019,125,84,89,-9,5,72,320,1,7,46
87,Doin' It,LL Cool J,east coast hip hop,1996,95,53,81,-12,12,62,294,34,19,46
88,Please Forgive Me,Bryan Adams,album rock,2005,67,46,53,-7,10,15,356,50,3,43
